customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
0434-CSFON,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
1215-FIGMP,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
0526-SXDJP,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
0557-ASKVU,Yes,No,DSL,No,No,Yes,Yes,No,No
5698-BQJOH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
5122-CYFXA,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes
8627-ZYGSZ,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
3410-YOQBQ,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
3170-NMYVV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7410-OIEDU,Yes,No,Fiber optic,Yes,No,Yes,No,No,No
2273-QCKXA,Yes,No,DSL,No,No,No,Yes,No,No
0731-EBJQB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1891-QRQSA,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
8028-PNXHQ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5630-AHZIL,Yes,No,DSL,Yes,No,No,Yes,No,Yes
2673-CXQEU,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
6416-JNVRK,Yes,No,DSL,No,No,No,No,No,Yes
5590-ZSKRV,Yes,No,DSL,Yes,Yes,No,No,No,No
0191-ZHSKZ,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes
3887-PBQAO,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5919-TMRGD,Yes,No,Fiber optic,No,No,No,No,Yes,No
8108-UXRQN,No,No phone service,DSL,Yes,No,No,No,Yes,Yes
9191-MYQKX,Yes,No,Fiber optic,No,No,Yes,No,No,No
9919-YLNNG,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0318-ZOPWS,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4445-ZJNMU,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
4808-YNLEU,Yes,No,DSL,Yes,No,No,No,Yes,No
1862-QRWPE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2796-NNUFI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3016-KSVCP,No,No phone service,DSL,No,No,No,No,Yes,No
4767-HZZHQ,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
2424-WVHPL,Yes,No,Fiber optic,No,No,No,Yes,No,No
7233-PAHHL,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
6067-NGCEU,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9848-JQJTX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
8637-XJIVR,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
9803-FTJCG,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No
0278-YXOOG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3212-KXOCR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4598-XLKNJ,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
6380-ARCEH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3679-XASPY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7123-WQUHX,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No
5386-THSLQ,No,No phone service,DSL,No,Yes,Yes,No,Yes,No
3192-NQECA,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
6180-YBIQI,No,No phone service,DSL,No,No,No,No,No,No
6728-DKUCO,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
9750-BOOHV,No,No phone service,DSL,Yes,No,No,No,No,No
8597-CWYHH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
2848-YXSMW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0486-HECZI,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
4549-ZDQYY,Yes,No,DSL,Yes,No,Yes,Yes,No,No
5712-AHQNN,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No
4846-WHAFZ,Yes,Yes,Fiber optic,No,No,No,No,No,No
5256-SKJGO,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes
3071-VBYPO,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No
9560-BBZXK,No,No phone service,DSL,Yes,No,No,No,No,No
5299-RULOA,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
8402-OOOHJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9445-ZUEQE,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No
1091-SOZGA,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2928-HLDBA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0404-SWRVG,Yes,Yes,Fiber optic,No,No,No,No,No,No
6497-TILVL,Yes,No,DSL,Yes,No,No,No,No,No
7219-TLZHO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4622-YNKIJ,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No
4412-YLTKF,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
6734-PSBAW,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3930-ZGWVE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2639-UGMAZ,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes
2876-GZYZC,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
6207-WIOLX,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
8587-XYZSF,Yes,No,DSL,No,No,No,Yes,No,No
3091-FYHKI,No,No phone service,DSL,No,No,No,No,No,Yes
2372-HWUHI,Yes,No,DSL,No,No,No,No,No,No
7799-LGRDP,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7850-VWJUU,Yes,No,Fiber optic,Yes,No,No,No,No,No
3774-VBNXY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6217-KDYWC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0390-DCFDQ,Yes,No,Fiber optic,No,No,No,No,No,No
3146-MSEGF,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
4080-OGPJL,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes
1095-WGNGG,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
2636-SJDOU,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No
1131-QQZEB,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5716-EZXZN,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
6837-BJYDQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2135-RXIHG,Yes,No,DSL,No,No,No,No,No,No
6440-DKQGE,Yes,No,DSL,No,Yes,Yes,No,Yes,No
3466-BYAVD,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes
3780-YVMFA,Yes,No,DSL,No,No,No,Yes,Yes,Yes
3874-EQOEP,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
1679-JRFBR,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9073-ZZIAY,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
3077-RSNTJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6551-GNYDG,Yes,No,Fiber optic,No,No,No,No,No,Yes
9167-APMXZ,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
2749-CTKAJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6371-NZYEG,Yes,No,DSL,Yes,No,Yes,No,Yes,No
7554-NEWDD,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8992-VONJD,Yes,No,DSL,Yes,Yes,No,No,No,No
0867-MKZVY,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
4482-EWFMI,Yes,No,Fiber optic,No,No,No,No,No,No
4648-YPBTM,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes
2907-ILJBN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6345-FZOQH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3376-BMGFE,Yes,No,Fiber optic,No,No,No,No,No,No
5997-OPVFA,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
3445-HXXGF,No,No phone service,DSL,No,Yes,Yes,No,No,Yes
1159-WFSGR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7654-YWJUF,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No
1875-QIVME,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
6727-IOTLZ,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
0691-JVSYA,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
5918-VUKWP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1744-JHKYS,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2656-FMOKZ,Yes,Yes,Fiber optic,No,No,No,No,No,No
2070-FNEXE,Yes,No,Fiber optic,Yes,No,No,No,No,No
5947-SGKCL,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
3712-PKXZA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6317-YPKDH,No,No phone service,DSL,No,Yes,No,No,No,No
6582-OIVSP,Yes,No,DSL,No,No,No,No,No,No
9367-WXLCH,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
5524-KHNJP,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes
1918-ZBFQJ,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
1024-GUALD,No,No phone service,DSL,No,No,No,No,No,No
4827-USJHP,Yes,No,DSL,No,Yes,No,No,No,No
8167-GJLRN,No,No phone service,DSL,No,No,No,Yes,No,No
0956-SYCWG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8017-UVSZU,Yes,Yes,DSL,No,Yes,No,No,No,No
7100-FQPRV,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes
2472-OVKUP,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
2984-RGEYA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9680-NIAUV,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
2146-EGVDT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2604-IJPDU,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No
9178-JHUVJ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6168-YBYNP,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7255-SSFBC,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
3645-DEYGF,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9323-HGFWY,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes
8544-GOQSH,Yes,No,Fiber optic,No,Yes,No,Yes,No,No
3363-DTIVD,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
7018-WBJNK,Yes,No,Fiber optic,No,No,No,No,Yes,No
9142-KZXOP,Yes,No,Fiber optic,No,No,No,No,No,No
7674-YTAFD,Yes,No,Fiber optic,No,Yes,No,Yes,No,No
6348-SNFUS,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes
1285-OKIPP,Yes,No,Fiber optic,No,No,No,No,No,Yes
7825-ECJRF,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
1347-KTTTA,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7841-TZDMQ,Yes,No,DSL,No,No,No,No,No,No
4195-NZGTA,No,No phone service,DSL,No,No,No,No,No,No
7157-SMCFK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4709-LKHYG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2504-DSHIH,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
0699-NDKJM,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
9286-BHDQG,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
0230-WEQUW,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
2040-LDIWQ,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
6496-JDSSB,Yes,No,Fiber optic,No,No,No,No,Yes,No
9408-SSNVZ,Yes,No,Fiber optic,No,No,No,No,No,No
4443-EMBNA,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6469-MRVET,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0742-MOABM,Yes,No,DSL,No,No,No,Yes,No,No
5961-VUSRV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6778-JFCMK,No,No phone service,DSL,Yes,No,No,No,Yes,Yes
6341-JVQGF,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes
2232-DMLXU,Yes,No,DSL,No,No,No,No,Yes,No
4811-JBUVU,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes
0945-TSONX,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
2651-ZCBXV,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
3316-UWXUY,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes
8937-RDTHP,Yes,No,Fiber optic,Yes,No,No,No,No,Yes
7083-MIOPC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1984-GPTEH,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1251-KRREG,Yes,Yes,DSL,No,Yes,No,No,No,No
0621-JFHOL,No,No phone service,DSL,No,No,No,Yes,No,No
9903-LYSAB,Yes,Yes,Fiber optic,No,No,No,No,No,No
0094-OIFMO,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
9227-UAQFT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7301-ABVAD,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
6614-FHDBO,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7576-ASEJU,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes
9058-HRZSV,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes
4522-AKYLR,Yes,No,DSL,No,Yes,Yes,No,No,No
0221-WMXNQ,Yes,No,Fiber optic,Yes,No,No,No,No,No
0303-UNCIP,Yes,Yes,DSL,No,No,Yes,No,No,Yes
9947-OTFQU,Yes,No,Fiber optic,No,Yes,No,No,No,No
0322-YINQP,Yes,No,DSL,Yes,No,No,No,No,No
0959-WHOKV,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes
4075-JFPGR,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No
4629-NRXKX,Yes,No,Fiber optic,No,No,No,No,No,No
9514-JDSKI,No,No phone service,DSL,No,Yes,No,No,Yes,No
3282-ZISZV,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
3675-YDUPJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4111-BNXIF,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
7017-VFHAY,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
6655-LHBYW,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
4959-JOSRX,Yes,No,DSL,No,No,No,No,No,No
5046-NUHWD,No,No phone service,DSL,Yes,No,Yes,No,No,Yes
7273-TEFQD,No,No phone service,DSL,No,No,Yes,No,No,Yes
3606-TWKGI,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
7529-ZDFXI,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
7605-BDWDC,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes
1950-KSVVJ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0123-CRBRT,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
6292-TOSSS,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3197-ARFOY,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
6323-AYBRX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7014-ZZXAW,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4385-GZQXV,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
7633-MVPUY,Yes,No,DSL,Yes,Yes,No,Yes,No,No
6366-ZGQGL,No,No phone service,DSL,No,No,No,No,No,No
4716-HHKQH,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
5940-AHUHD,Yes,No,Fiber optic,No,No,No,No,No,No
6432-TWQLB,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No
4484-GLZOU,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
3179-GBRWV,Yes,No,DSL,Yes,Yes,No,No,No,Yes
8645-KWHJO,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes
4130-MZLCC,Yes,No,DSL,No,Yes,No,No,No,No
0314-TKOSI,Yes,No,DSL,Yes,Yes,No,No,No,No
8229-MYEJZ,Yes,No,DSL,No,Yes,No,No,No,No
2080-SRCDE,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9577-WJVCQ,Yes,Yes,DSL,Yes,No,No,No,No,No
9512-UIBFX,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
6202-DYYFX,Yes,Yes,Fiber optic,No,No,No,No,No,No
3808-HFKDE,Yes,No,DSL,No,No,No,No,No,No
5583-SXDAG,Yes,No,Fiber optic,No,No,No,No,No,No
3488-PGMQJ,Yes,No,Fiber optic,No,Yes,No,No,No,No
3580-REOAC,Yes,No,DSL,No,No,No,No,No,No
7534-BFESC,Yes,Yes,Fiber optic,No,No,No,No,No,No
3727-OWVYD,Yes,No,DSL,Yes,Yes,Yes,No,No,No
2294-SALNE,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No
4847-TAJYI,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
1563-IWQEX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8203-XJZRC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6556-DBKZF,Yes,No,Fiber optic,No,No,Yes,No,No,No
6851-WEFYX,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2985-JUUBZ,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes
6390-DSAZX,Yes,No,Fiber optic,Yes,No,No,No,No,No
0895-LMRSF,Yes,No,DSL,No,No,No,No,Yes,Yes
8098-LLAZX,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
8266-VBFQL,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes
8181-YHCMF,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
2240-HSJQD,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
1248-DYXUB,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0265-EDXBD,Yes,Yes,Fiber optic,No,No,No,No,No,No
4115-BNPJY,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
3167-SNQPL,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
4091-TVOCN,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes
1098-TDVUQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7277-OZCGZ,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes
1557-EMYVT,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
2799-ARNLO,Yes,No,Fiber optic,No,No,No,No,No,No
7563-BIUPC,Yes,No,Fiber optic,No,No,No,No,Yes,No
5027-YOCXN,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
3973-SKMLN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2321-OMBXY,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes
2840-XANRC,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
6745-JEFZB,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No
5020-ZSTTY,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
9880-TDQAC,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
8705-WZCYL,Yes,No,DSL,No,No,No,No,No,No
7102-JJVTX,Yes,No,DSL,Yes,No,No,No,No,No
8626-PTQGE,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes
4983-CLMLV,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
5701-YVSVF,Yes,No,Fiber optic,No,No,No,Yes,Yes,No
5804-LEPIM,Yes,No,Fiber optic,No,No,No,No,No,No
5697-GOMBF,No,No phone service,DSL,No,No,No,No,Yes,No
2739-CACDQ,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
9385-EHGDO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9498-FIMXL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2379-GYFLQ,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
0122-OAHPZ,Yes,Yes,Fiber optic,No,No,No,No,No,No
2868-SNELZ,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
4322-RCYMT,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes
6680-NENYN,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
2088-IEBAU,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7982-VCELR,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
1343-EHPYB,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
6035-BXTTY,Yes,No,DSL,No,Yes,No,Yes,No,No
6885-PKOAM,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
